#node	identifier	category	term ID	term description
104438	STRG0A79TGQ.104438	GO Process	GO:0000715	Nucleotide-excision repair, DNA damage recognition
104438	STRG0A79TGQ.104438	GO Process	GO:0065007	Biological regulation
104438	STRG0A79TGQ.104438	GO Process	GO:0071704	Organic substance metabolic process
104438	STRG0A79TGQ.104438	GO Process	GO:0080090	Regulation of primary metabolic process
104438	STRG0A79TGQ.104438	GO Process	GO:0090304	Nucleic acid metabolic process
104438	STRG0A79TGQ.104438	GO Process	GO:0097659	Nucleic acid-templated transcription
104438	STRG0A79TGQ.104438	GO Process	GO:0110148	Biomineralization
104438	STRG0A79TGQ.104438	GO Process	GO:1901360	Organic cyclic compound metabolic process
104438	STRG0A79TGQ.104438	GO Process	GO:1901362	Organic cyclic compound biosynthetic process
104438	STRG0A79TGQ.104438	GO Process	GO:1901576	Organic substance biosynthetic process
104438	STRG0A79TGQ.104438	GO Process	GO:1902680	Positive regulation of RNA biosynthetic process
104438	STRG0A79TGQ.104438	GO Process	GO:1903506	Regulation of nucleic acid-templated transcription
104438	STRG0A79TGQ.104438	GO Process	GO:1903508	Positive regulation of nucleic acid-templated transcription
104438	STRG0A79TGQ.104438	GO Process	GO:2001141	Regulation of RNA biosynthetic process
104438	STRG0A79TGQ.104438	GO Function	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific
104438	STRG0A79TGQ.104438	GO Function	GO:0003676	Nucleic acid binding
104438	STRG0A79TGQ.104438	GO Function	GO:0003677	DNA binding
104438	STRG0A79TGQ.104438	GO Function	GO:0003700	DNA-binding transcription factor activity
104438	STRG0A79TGQ.104438	GO Function	GO:0005488	Binding
104438	STRG0A79TGQ.104438	GO Function	GO:0008270	Zinc ion binding
104438	STRG0A79TGQ.104438	GO Function	GO:0043167	Ion binding
104438	STRG0A79TGQ.104438	GO Function	GO:0043169	Cation binding
104438	STRG0A79TGQ.104438	GO Function	GO:0043565	Sequence-specific DNA binding
104438	STRG0A79TGQ.104438	GO Function	GO:0046872	Metal ion binding
104438	STRG0A79TGQ.104438	GO Function	GO:0046914	Transition metal ion binding
104438	STRG0A79TGQ.104438	GO Function	GO:0097159	Organic cyclic compound binding
104438	STRG0A79TGQ.104438	GO Function	GO:0140110	Transcription regulator activity
104438	STRG0A79TGQ.104438	GO Function	GO:1901363	Heterocyclic compound binding
104438	STRG0A79TGQ.104438	GO Component	GO:0005622	Intracellular anatomical structure
104438	STRG0A79TGQ.104438	GO Component	GO:0005634	Nucleus
104438	STRG0A79TGQ.104438	GO Component	GO:0043226	Organelle
104438	STRG0A79TGQ.104438	GO Component	GO:0043227	Membrane-bounded organelle
104438	STRG0A79TGQ.104438	GO Component	GO:0043229	Intracellular organelle
104438	STRG0A79TGQ.104438	GO Component	GO:0043231	Intracellular membrane-bounded organelle
104438	STRG0A79TGQ.104438	GO Component	GO:0110165	Cellular anatomical entity
104438	STRG0A79TGQ.104438	STRING clusters	CL:9498	Mostly uncharacterized, incl. Cell wall organization, and TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain
104438	STRG0A79TGQ.104438	STRING clusters	CL:9500	Mostly uncharacterized, incl. Cell wall organization, and Exomer complex
104438	STRG0A79TGQ.104438	STRING clusters	CL:9501	Mostly uncharacterized, incl. Exomer complex, and Signal-anchor
104438	STRG0A79TGQ.104438	STRING clusters	CL:9540	Mostly uncharacterized, incl. Signal-anchor, and Response to purine-containing compound
104438	STRG0A79TGQ.104438	STRING clusters	CL:9541	Mostly uncharacterized, incl. Response to purine-containing compound, and Protein N-acetylglucosaminyltransferase activity
104438	STRG0A79TGQ.104438	COMPARTMENTS	GOCC:0005622	Intracellular
104438	STRG0A79TGQ.104438	COMPARTMENTS	GOCC:0005634	Nucleus
104438	STRG0A79TGQ.104438	COMPARTMENTS	GOCC:0043226	Organelle
104438	STRG0A79TGQ.104438	COMPARTMENTS	GOCC:0043227	Membrane-bounded organelle
104438	STRG0A79TGQ.104438	COMPARTMENTS	GOCC:0043229	Intracellular organelle
104438	STRG0A79TGQ.104438	COMPARTMENTS	GOCC:0043231	Intracellular membrane-bounded organelle
104438	STRG0A79TGQ.104438	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
104438	STRG0A79TGQ.104438	UniProt Keywords	KW-0238	DNA-binding
104438	STRG0A79TGQ.104438	UniProt Keywords	KW-0479	Metal-binding
104438	STRG0A79TGQ.104438	UniProt Keywords	KW-0539	Nucleus
104438	STRG0A79TGQ.104438	UniProt Keywords	KW-0804	Transcription
104438	STRG0A79TGQ.104438	UniProt Keywords	KW-0805	Transcription regulation
104438	STRG0A79TGQ.104438	UniProt Keywords	KW-0862	Zinc
106248	STRG0A79TGQ.106248	STRING clusters	CL:11936	Mixed, incl. L-ornithine transmembrane transporter activity, and Cis-regulatory region sequence-specific DNA binding
106248	STRG0A79TGQ.106248	STRING clusters	CL:11982	Mixed, incl. Cis-regulatory region sequence-specific DNA binding, and Generation of neurons
106248	STRG0A79TGQ.106248	STRING clusters	CL:11983	Cis-regulatory region sequence-specific DNA binding, and Cytochrome P450 - arranged by substrate type
106248	STRG0A79TGQ.106248	UniProt Keywords	KW-0472	Membrane
106248	STRG0A79TGQ.106248	UniProt Keywords	KW-0812	Transmembrane
106248	STRG0A79TGQ.106248	UniProt Keywords	KW-1133	Transmembrane helix
106272	STRG0A79TGQ.106272	GO Process	GO:0006807	Nitrogen compound metabolic process
106272	STRG0A79TGQ.106272	GO Process	GO:0008152	Metabolic process
106272	STRG0A79TGQ.106272	GO Process	GO:0009987	Cellular process
106272	STRG0A79TGQ.106272	GO Process	GO:0034641	Cellular nitrogen compound metabolic process
106272	STRG0A79TGQ.106272	GO Process	GO:0044237	Cellular metabolic process
106272	STRG0A79TGQ.106272	GO Process	GO:0044238	Primary metabolic process
106272	STRG0A79TGQ.106272	GO Process	GO:0071704	Organic substance metabolic process
106272	STRG0A79TGQ.106272	GO Function	GO:0005488	Binding
106272	STRG0A79TGQ.106272	GO Component	GO:0005622	Intracellular anatomical structure
106272	STRG0A79TGQ.106272	GO Component	GO:0005737	Cytoplasm
106272	STRG0A79TGQ.106272	GO Component	GO:0110165	Cellular anatomical entity
106272	STRG0A79TGQ.106272	STRING clusters	CL:4731	Mixed, incl. Multivesicular body sorting pathway, and Ubiquitin-dependent endocytosis
106272	STRG0A79TGQ.106272	KEGG	map00520	Amino sugar and nucleotide sugar metabolism
106272	STRG0A79TGQ.106272	KEGG	map01100	Metabolic pathways
106272	STRG0A79TGQ.106272	Reactome	MAP-392499	Metabolism of proteins
106272	STRG0A79TGQ.106272	Reactome	MAP-446193	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein
106272	STRG0A79TGQ.106272	Reactome	MAP-446203	Asparagine N-linked glycosylation
106272	STRG0A79TGQ.106272	Reactome	MAP-446210	Synthesis of UDP-N-acetyl-glucosamine
106272	STRG0A79TGQ.106272	Reactome	MAP-446219	Synthesis of substrates in N-glycan biosythesis
106272	STRG0A79TGQ.106272	Reactome	MAP-597592	Post-translational protein modification
106272	STRG0A79TGQ.106272	COMPARTMENTS	GOCC:0016020	Membrane
106272	STRG0A79TGQ.106272	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
106272	STRG0A79TGQ.106272	UniProt Keywords	KW-0418	Kinase
106272	STRG0A79TGQ.106272	UniProt Keywords	KW-0808	Transferase
121006	STRG0A79TGQ.121006	GO Process	GO:0006457	Protein folding
121006	STRG0A79TGQ.121006	GO Process	GO:0009987	Cellular process
121006	STRG0A79TGQ.121006	GO Function	GO:0000166	Nucleotide binding
121006	STRG0A79TGQ.121006	GO Function	GO:0003824	Catalytic activity
121006	STRG0A79TGQ.121006	GO Function	GO:0004497	Monooxygenase activity
121006	STRG0A79TGQ.121006	GO Function	GO:0004499	N,N-dimethylaniline monooxygenase activity
121006	STRG0A79TGQ.121006	GO Function	GO:0005488	Binding
121006	STRG0A79TGQ.121006	GO Function	GO:0016491	Oxidoreductase activity
121006	STRG0A79TGQ.121006	GO Function	GO:0016705	Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
121006	STRG0A79TGQ.121006	GO Function	GO:0016709	Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen
121006	STRG0A79TGQ.121006	GO Function	GO:0036094	Small molecule binding
121006	STRG0A79TGQ.121006	GO Function	GO:0043167	Ion binding
121006	STRG0A79TGQ.121006	GO Function	GO:0043168	Anion binding
121006	STRG0A79TGQ.121006	GO Function	GO:0050660	Flavin adenine dinucleotide binding
121006	STRG0A79TGQ.121006	GO Function	GO:0050661	NADP binding
121006	STRG0A79TGQ.121006	GO Function	GO:0097159	Organic cyclic compound binding
121006	STRG0A79TGQ.121006	GO Function	GO:1901265	Nucleoside phosphate binding
121006	STRG0A79TGQ.121006	GO Function	GO:1901363	Heterocyclic compound binding
121006	STRG0A79TGQ.121006	GO Component	GO:0005622	Intracellular anatomical structure
121006	STRG0A79TGQ.121006	GO Component	GO:0005737	Cytoplasm
121006	STRG0A79TGQ.121006	GO Component	GO:0005783	Endoplasmic reticulum
121006	STRG0A79TGQ.121006	GO Component	GO:0005789	Endoplasmic reticulum membrane
121006	STRG0A79TGQ.121006	GO Component	GO:0012505	Endomembrane system
121006	STRG0A79TGQ.121006	GO Component	GO:0016020	Membrane
121006	STRG0A79TGQ.121006	GO Component	GO:0031090	Organelle membrane
121006	STRG0A79TGQ.121006	GO Component	GO:0031984	Organelle subcompartment
121006	STRG0A79TGQ.121006	GO Component	GO:0042175	Nuclear outer membrane-endoplasmic reticulum membrane network
121006	STRG0A79TGQ.121006	GO Component	GO:0043226	Organelle
121006	STRG0A79TGQ.121006	GO Component	GO:0043227	Membrane-bounded organelle
121006	STRG0A79TGQ.121006	GO Component	GO:0043229	Intracellular organelle
121006	STRG0A79TGQ.121006	GO Component	GO:0043231	Intracellular membrane-bounded organelle
121006	STRG0A79TGQ.121006	GO Component	GO:0098827	Endoplasmic reticulum subcompartment
121006	STRG0A79TGQ.121006	GO Component	GO:0110165	Cellular anatomical entity
121006	STRG0A79TGQ.121006	STRING clusters	CL:6879	Mixed, incl. Ubiquinone metabolic process, and N,N-dimethylaniline monooxygenase activity
121006	STRG0A79TGQ.121006	Reactome	MAP-1430728	Metabolism
121006	STRG0A79TGQ.121006	Reactome	MAP-211859	Biological oxidations
121006	STRG0A79TGQ.121006	Reactome	MAP-211945	Phase I - Functionalization of compounds
121006	STRG0A79TGQ.121006	COMPARTMENTS	GOCC:0005622	Intracellular
121006	STRG0A79TGQ.121006	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
121006	STRG0A79TGQ.121006	UniProt Keywords	KW-0503	Monooxygenase
121006	STRG0A79TGQ.121006	UniProt Keywords	KW-0560	Oxidoreductase
122767	STRG0A79TGQ.122767	UniProt Keywords	KW-0472	Membrane
122767	STRG0A79TGQ.122767	UniProt Keywords	KW-0812	Transmembrane
122767	STRG0A79TGQ.122767	UniProt Keywords	KW-1133	Transmembrane helix
13894	STRG0A79TGQ.13894	GO Process	GO:0008152	Metabolic process
13894	STRG0A79TGQ.13894	GO Process	GO:0009987	Cellular process
13894	STRG0A79TGQ.13894	GO Process	GO:0044237	Cellular metabolic process
13894	STRG0A79TGQ.13894	GO Process	GO:0071704	Organic substance metabolic process
13894	STRG0A79TGQ.13894	GO Function	GO:0003824	Catalytic activity
13894	STRG0A79TGQ.13894	GO Function	GO:0016491	Oxidoreductase activity
13894	STRG0A79TGQ.13894	STRING clusters	CL:8805	Mixed, incl. TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain, and FMN binding
13894	STRG0A79TGQ.13894	STRING clusters	CL:8806	Mixed, incl. TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain, and FMN binding
13894	STRG0A79TGQ.13894	STRING clusters	CL:8807	Mixed, incl. TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain, and FMN binding
13894	STRG0A79TGQ.13894	STRING clusters	CL:8808	Mixed, incl. FMN binding, and TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain
13894	STRG0A79TGQ.13894	STRING clusters	CL:8809	Mixed, incl. alpha-Linolenic acid metabolism, and Indole alkaloid biosynthesis
13894	STRG0A79TGQ.13894	KEGG	map01100	Metabolic pathways
13894	STRG0A79TGQ.13894	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
13894	STRG0A79TGQ.13894	UniProt Keywords	KW-0175	Coiled coil
143686	STRG0A79TGQ.143686	GO Process	GO:0006810	Transport
143686	STRG0A79TGQ.143686	GO Process	GO:0009987	Cellular process
143686	STRG0A79TGQ.143686	GO Process	GO:0051179	Localization
143686	STRG0A79TGQ.143686	GO Process	GO:0051234	Establishment of localization
143686	STRG0A79TGQ.143686	GO Process	GO:0055085	Transmembrane transport
143686	STRG0A79TGQ.143686	GO Function	GO:0005215	Transporter activity
143686	STRG0A79TGQ.143686	GO Function	GO:0022857	Transmembrane transporter activity
143686	STRG0A79TGQ.143686	GO Component	GO:0016020	Membrane
143686	STRG0A79TGQ.143686	GO Component	GO:0016021	Integral component of membrane
143686	STRG0A79TGQ.143686	GO Component	GO:0031224	Intrinsic component of membrane
143686	STRG0A79TGQ.143686	GO Component	GO:0110165	Cellular anatomical entity
143686	STRG0A79TGQ.143686	STRING clusters	CL:11520	Inositol transporters, and Threonine catabolism
143686	STRG0A79TGQ.143686	STRING clusters	CL:11521	Inositol transporters, and Threonine catabolism
143686	STRG0A79TGQ.143686	STRING clusters	CL:11523	Inositol transporters
143686	STRG0A79TGQ.143686	STRING clusters	CL:11524	Inositol transporters
143686	STRG0A79TGQ.143686	STRING clusters	CL:11525	Inositol transporters
143686	STRG0A79TGQ.143686	STRING clusters	CL:11526	Inositol transporters
143686	STRG0A79TGQ.143686	STRING clusters	CL:11538	Sugar transport, and Inositol transporters
143686	STRG0A79TGQ.143686	KEGG	map04113	Meiosis - yeast
143686	STRG0A79TGQ.143686	Reactome	MAP-382551	Transport of small molecules
143686	STRG0A79TGQ.143686	Reactome	MAP-425366	Transport of bile salts and organic acids, metal ions and amine compounds
143686	STRG0A79TGQ.143686	Reactome	MAP-425407	SLC-mediated transmembrane transport
143686	STRG0A79TGQ.143686	Reactome	MAP-429593	Inositol transporters
143686	STRG0A79TGQ.143686	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
143686	STRG0A79TGQ.143686	UniProt Keywords	KW-0472	Membrane
143686	STRG0A79TGQ.143686	UniProt Keywords	KW-0812	Transmembrane
143686	STRG0A79TGQ.143686	UniProt Keywords	KW-0813	Transport
143686	STRG0A79TGQ.143686	UniProt Keywords	KW-1133	Transmembrane helix
15055	STRG0A79TGQ.15055	UniProt Keywords	KW-0732	Signal
168488	STRG0A79TGQ.168488	UniProt Keywords	KW-0472	Membrane
168488	STRG0A79TGQ.168488	UniProt Keywords	KW-0812	Transmembrane
168488	STRG0A79TGQ.168488	UniProt Keywords	KW-1133	Transmembrane helix
170590	STRG0A79TGQ.170590	UniProt Keywords	KW-0732	Signal
173947	STRG0A79TGQ.173947	GO Process	GO:0006082	Organic acid metabolic process
173947	STRG0A79TGQ.173947	GO Process	GO:0006807	Nitrogen compound metabolic process
173947	STRG0A79TGQ.173947	GO Process	GO:0008152	Metabolic process
173947	STRG0A79TGQ.173947	GO Process	GO:0009439	Cyanate metabolic process
173947	STRG0A79TGQ.173947	GO Process	GO:0009987	Cellular process
173947	STRG0A79TGQ.173947	GO Process	GO:0034641	Cellular nitrogen compound metabolic process
173947	STRG0A79TGQ.173947	GO Process	GO:0044237	Cellular metabolic process
173947	STRG0A79TGQ.173947	GO Process	GO:0044281	Small molecule metabolic process
173947	STRG0A79TGQ.173947	GO Process	GO:0071704	Organic substance metabolic process
173947	STRG0A79TGQ.173947	GO Process	GO:1901564	Organonitrogen compound metabolic process
173947	STRG0A79TGQ.173947	GO Function	GO:0003676	Nucleic acid binding
173947	STRG0A79TGQ.173947	GO Function	GO:0003677	DNA binding
173947	STRG0A79TGQ.173947	GO Function	GO:0003824	Catalytic activity
173947	STRG0A79TGQ.173947	GO Function	GO:0005488	Binding
173947	STRG0A79TGQ.173947	GO Function	GO:0008824	Cyanate hydratase activity
173947	STRG0A79TGQ.173947	GO Function	GO:0016829	Lyase activity
173947	STRG0A79TGQ.173947	GO Function	GO:0016840	Carbon-nitrogen lyase activity
173947	STRG0A79TGQ.173947	GO Function	GO:0097159	Organic cyclic compound binding
173947	STRG0A79TGQ.173947	GO Function	GO:1901363	Heterocyclic compound binding
173947	STRG0A79TGQ.173947	GO Component	GO:0005622	Intracellular anatomical structure
173947	STRG0A79TGQ.173947	GO Component	GO:0005737	Cytoplasm
173947	STRG0A79TGQ.173947	GO Component	GO:0005783	Endoplasmic reticulum
173947	STRG0A79TGQ.173947	GO Component	GO:0005787	Signal peptidase complex
173947	STRG0A79TGQ.173947	GO Component	GO:0005789	Endoplasmic reticulum membrane
173947	STRG0A79TGQ.173947	GO Component	GO:0012505	Endomembrane system
173947	STRG0A79TGQ.173947	GO Component	GO:0016020	Membrane
173947	STRG0A79TGQ.173947	GO Component	GO:0016021	Integral component of membrane
173947	STRG0A79TGQ.173947	GO Component	GO:0031090	Organelle membrane
173947	STRG0A79TGQ.173947	GO Component	GO:0031224	Intrinsic component of membrane
173947	STRG0A79TGQ.173947	GO Component	GO:0031984	Organelle subcompartment
173947	STRG0A79TGQ.173947	GO Component	GO:0032991	Protein-containing complex
173947	STRG0A79TGQ.173947	GO Component	GO:0042175	Nuclear outer membrane-endoplasmic reticulum membrane network
173947	STRG0A79TGQ.173947	GO Component	GO:0043226	Organelle
173947	STRG0A79TGQ.173947	GO Component	GO:0043227	Membrane-bounded organelle
173947	STRG0A79TGQ.173947	GO Component	GO:0043229	Intracellular organelle
173947	STRG0A79TGQ.173947	GO Component	GO:0043231	Intracellular membrane-bounded organelle
173947	STRG0A79TGQ.173947	GO Component	GO:0098796	Membrane protein complex
173947	STRG0A79TGQ.173947	GO Component	GO:0098827	Endoplasmic reticulum subcompartment
173947	STRG0A79TGQ.173947	GO Component	GO:0110165	Cellular anatomical entity
173947	STRG0A79TGQ.173947	GO Component	GO:0140534	Endoplasmic reticulum protein-containing complex
173947	STRG0A79TGQ.173947	GO Component	GO:1902494	Catalytic complex
173947	STRG0A79TGQ.173947	GO Component	GO:1905368	Peptidase complex
173947	STRG0A79TGQ.173947	STRING clusters	CL:9321	Mostly uncharacterized, incl. FMN, and Cellular response to inorganic substance
173947	STRG0A79TGQ.173947	STRING clusters	CL:9324	Mostly uncharacterized, incl. Cellular response to inorganic substance, and Microtubule cytoskeleton
173947	STRG0A79TGQ.173947	STRING clusters	CL:9325	Mostly uncharacterized, incl. Cellular response to inorganic substance, and Signaling receptor activity
173947	STRG0A79TGQ.173947	STRING clusters	CL:9421	Mixed, incl. Response to carbon dioxide, and Protein kinase A signaling
173947	STRG0A79TGQ.173947	STRING clusters	CL:9425	Response to carbon dioxide, and Signal peptidase complex
173947	STRG0A79TGQ.173947	KEGG	map00910	Nitrogen metabolism
173947	STRG0A79TGQ.173947	KEGG	map01100	Metabolic pathways
173947	STRG0A79TGQ.173947	Reactome	MAP-2980736	Peptide hormone metabolism
173947	STRG0A79TGQ.173947	Reactome	MAP-392499	Metabolism of proteins
173947	STRG0A79TGQ.173947	COMPARTMENTS	GOCC:0005787	Signal peptidase complex
173947	STRG0A79TGQ.173947	COMPARTMENTS	GOCC:0005789	Endoplasmic reticulum membrane
173947	STRG0A79TGQ.173947	COMPARTMENTS	GOCC:0012505	Endomembrane system
173947	STRG0A79TGQ.173947	COMPARTMENTS	GOCC:0016020	Membrane
173947	STRG0A79TGQ.173947	COMPARTMENTS	GOCC:0031090	Organelle membrane
173947	STRG0A79TGQ.173947	COMPARTMENTS	GOCC:0032991	Protein-containing complex
173947	STRG0A79TGQ.173947	COMPARTMENTS	GOCC:0042175	Nuclear outer membrane-endoplasmic reticulum membrane network
173947	STRG0A79TGQ.173947	COMPARTMENTS	GOCC:0043226	Organelle
173947	STRG0A79TGQ.173947	COMPARTMENTS	GOCC:0043227	Membrane-bounded organelle
173947	STRG0A79TGQ.173947	COMPARTMENTS	GOCC:0098796	Membrane protein complex
173947	STRG0A79TGQ.173947	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
173947	STRG0A79TGQ.173947	COMPARTMENTS	GOCC:1902494	Catalytic complex
173947	STRG0A79TGQ.173947	COMPARTMENTS	GOCC:1905368	Peptidase complex
173947	STRG0A79TGQ.173947	UniProt Keywords	KW-0456	Lyase
174669	STRG0A79TGQ.174669	GO Process	GO:0009987	Cellular process
174669	STRG0A79TGQ.174669	GO Component	GO:0110165	Cellular anatomical entity
174669	STRG0A79TGQ.174669	STRING clusters	CL:11520	Inositol transporters, and Threonine catabolism
174669	STRG0A79TGQ.174669	STRING clusters	CL:11633	Mixed, incl. Lactone metabolic process, and Electron-transferring-flavoprotein dehydrogenase activity
174669	STRG0A79TGQ.174669	STRING clusters	CL:11634	Mostly uncharacterized, incl. Tricarboxylate secondary active transmembrane transporter activity, and Cell aggregation
174669	STRG0A79TGQ.174669	KEGG	map00261	Monobactam biosynthesis
174669	STRG0A79TGQ.174669	KEGG	map00300	Lysine biosynthesis
174669	STRG0A79TGQ.174669	KEGG	map01100	Metabolic pathways
174669	STRG0A79TGQ.174669	KEGG	map01110	Biosynthesis of secondary metabolites
174669	STRG0A79TGQ.174669	KEGG	map01230	Biosynthesis of amino acids
174669	STRG0A79TGQ.174669	Reactome	MAP-1430728	Metabolism
174669	STRG0A79TGQ.174669	Reactome	MAP-70263	Gluconeogenesis
174669	STRG0A79TGQ.174669	Reactome	MAP-70326	Glucose metabolism
174669	STRG0A79TGQ.174669	Reactome	MAP-71387	Metabolism of carbohydrates
174669	STRG0A79TGQ.174669	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
174669	STRG0A79TGQ.174669	UniProt Keywords	KW-0472	Membrane
174669	STRG0A79TGQ.174669	UniProt Keywords	KW-0812	Transmembrane
174669	STRG0A79TGQ.174669	UniProt Keywords	KW-1133	Transmembrane helix
185580	STRG0A79TGQ.185580	STRING clusters	CL:11393	DNA synthesis involved in DNA repair, and ER Quality Control Compartment (ERQC)
185580	STRG0A79TGQ.185580	COMPARTMENTS	GOCC:0030115	S-layer
185580	STRG0A79TGQ.185580	COMPARTMENTS	GOCC:0030312	External encapsulating structure
185580	STRG0A79TGQ.185580	COMPARTMENTS	GOCC:0071944	Cell periphery
185580	STRG0A79TGQ.185580	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
185580	STRG0A79TGQ.185580	UniProt Keywords	KW-0808	Transferase
189945	STRG0A79TGQ.189945	STRING clusters	CL:11520	Inositol transporters, and Threonine catabolism
189945	STRG0A79TGQ.189945	UniProt Keywords	KW-0732	Signal
194376	STRG0A79TGQ.194376	GO Process	GO:0005975	Carbohydrate metabolic process
194376	STRG0A79TGQ.194376	GO Process	GO:0006040	Amino sugar metabolic process
194376	STRG0A79TGQ.194376	GO Process	GO:0006044	N-acetylglucosamine metabolic process
194376	STRG0A79TGQ.194376	GO Process	GO:0006046	N-acetylglucosamine catabolic process
194376	STRG0A79TGQ.194376	GO Process	GO:0006950	Response to stress
194376	STRG0A79TGQ.194376	GO Process	GO:0007154	Cell communication
194376	STRG0A79TGQ.194376	GO Process	GO:0008152	Metabolic process
194376	STRG0A79TGQ.194376	GO Process	GO:0009056	Catabolic process
194376	STRG0A79TGQ.194376	GO Process	GO:0009267	Cellular response to starvation
