"","goAcc","Protein_ID","GO_terms"
"280","GO:0008565"," 48939","obsolete protein transporter activity"
"281","GO:0005488"," 48939","binding"
"282","GO:0005525"," 49104","GTP binding"
"283","GO:0007264"," 49104","small GTPase mediated signal transduction"
"284","GO:0003924"," 49104","GTPase activity"
"285","GO:0005515"," 49104","protein binding"
"286","GO:0006886"," 49104","intracellular protein transport"
"287","GO:0006913"," 49104","nucleocytoplasmic transport"
"288","GO:0007165"," 49104","signal transduction"
"289","GO:0005622"," 49104","intracellular anatomical structure"
"290","GO:0015031"," 49104","protein transport"
"291","GO:0005488"," 49226","binding"
"292","GO:0003677"," 49528","DNA binding"
"293","GO:0003700"," 49528","DNA-binding transcription factor activity"
"294","GO:0006355"," 49528","regulation of DNA-templated transcription"
"295","GO:0003676"," 49556","nucleic acid binding"
"296","GO:0005622"," 49556","intracellular anatomical structure"
"297","GO:0008270"," 49556","zinc ion binding"
"298","GO:0004672"," 49678","protein kinase activity"
"299","GO:0005524"," 49678","ATP binding"
"300","GO:0006468"," 49678","protein phosphorylation"
"301","GO:0004674"," 49678","protein serine/threonine kinase activity"
"302","GO:0004682"," 49678","obsolete protein kinase CK2 activity"
"303","GO:0005643"," 50114","nuclear pore"
"304","GO:0006913"," 50114","nucleocytoplasmic transport"
"305","GO:0050658"," 50114","RNA transport"
"306","GO:0005634"," 51924","nucleus"
"307","GO:0030528"," 51924","obsolete transcription regulator activity"
"308","GO:0045449"," 51924","regulation of DNA-templated transcription"
"309","GO:0003676"," 52695","nucleic acid binding"
"310","GO:0005622"," 52695","intracellular anatomical structure"
"311","GO:0008270"," 52695","zinc ion binding"
"312","GO:0005488"," 52722","binding"
"313","GO:0003883"," 53482","CTP synthase activity"
"314","GO:0006221"," 53482","pyrimidine nucleotide biosynthetic process"
"315","GO:0003735"," 54394","structural constituent of ribosome"
"316","GO:0005622"," 54394","intracellular anatomical structure"
"317","GO:0005840"," 54394","ribosome"
"318","GO:0006412"," 54394","translation"
"319","GO:0000009"," 55863","alpha-1,6-mannosyltransferase activity"
"320","GO:0000026"," 55863","alpha-1,2-mannosyltransferase activity"
"321","GO:0000030"," 55863","mannosyltransferase activity"
"322","GO:0000033"," 55863","alpha-1,3-mannosyltransferase activity"
"323","GO:0001962"," 55863","alpha-1,3-galactosyltransferase activity"
"324","GO:0003980"," 55863","UDP-glucose:glycoprotein glucosyltransferase activity"
"325","GO:0004376"," 55863","glycolipid mannosyltransferase activity"
"326","GO:0004576"," 55863","oligosaccharyl transferase activity"
"327","GO:0004583"," 55863","dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity"
"328","GO:0008375"," 55863","acetylglucosaminyltransferase activity"
"329","GO:0008376"," 55863","acetylgalactosaminyltransferase activity"
"330","GO:0008378"," 55863","galactosyltransferase activity"
"331","GO:0008417"," 55863","fucosyltransferase activity"
"332","GO:0008755"," 55863","O antigen polymerase activity"
"333","GO:0008921"," 55863","lipopolysaccharide-1,6-galactosyltransferase activity"
"334","GO:0016253"," 55863","protein N-acetylglucosaminyltransferase activity"
"335","GO:0016759"," 55863","cellulose synthase activity"
"336","GO:0018715"," 55863","9-phenanthrol UDP-glucuronosyltransferase activity"
"337","GO:0018716"," 55863","1-phenanthrol glycosyltransferase activity"
"338","GO:0018717"," 55863","9-phenanthrol glycosyltransferase activity"
"339","GO:0018718"," 55863","1,2-dihydroxy-phenanthrene glycosyltransferase activity"
"340","GO:0019112"," 55863","phenanthrol glycosyltransferase activity"
"341","GO:0019187"," 55863","beta-1,4-mannosyltransferase activity"
"342","GO:0031278"," 55863","alpha-1,2-galactosyltransferase activity"
"343","GO:0033556"," 55863","dolichyl pyrophosphate Man7GlcNAc2 alpha-1,3-glucosyltransferase activity"
"344","GO:0042281"," 55863","dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity"
"345","GO:0042283"," 55863","dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity"
"346","GO:0045140"," 55863","inositol phosphoceramide synthase activity"
"347","GO:0046527"," 55863","glucosyltransferase activity"
"348","GO:0046920"," 55863","alpha-(1->3)-fucosyltransferase activity"
"349","GO:0046921"," 55863","alpha-(1->6)-fucosyltransferase activity"
"350","GO:0003735"," 56404","structural constituent of ribosome"
"351","GO:0005622"," 56404","intracellular anatomical structure"
"352","GO:0005840"," 56404","ribosome"
"353","GO:0006412"," 56404","translation"
"354","GO:0003676"," 56444","nucleic acid binding"
"355","GO:0006397"," 56444","mRNA processing"
"356","GO:0005515"," 56975","protein binding"
"357","GO:0008270"," 56975","zinc ion binding"
"358","GO:0006464"," 57183","protein modification process"
"359","GO:0003702"," 58332","obsolete RNA polymerase II transcription factor activity"
"360","GO:0003824"," 58332","catalytic activity"
"361","GO:0006367"," 58332","transcription initiation at RNA polymerase II promoter"
"362","GO:0031072"," 58337","heat shock protein binding"
"363","GO:0005515"," 58773","protein binding"
"364","GO:0007154"," 58773","cell communication"
"365","GO:0035091"," 58773","phosphatidylinositol binding"
"366","GO:0007165"," 59001","signal transduction"
"367","GO:0005524"," 59445","ATP binding"
"368","GO:0016887"," 59445","ATP hydrolysis activity"
"369","GO:0000166"," 59445","nucleotide binding"
"370","GO:0017111"," 59445","ribonucleoside triphosphate phosphatase activity"
"371","GO:0015412"," 59445","ABC-type molybdate transporter activity"
"372","GO:0004672"," 60102","protein kinase activity"
"373","GO:0005524"," 60102","ATP binding"
"374","GO:0006468"," 60102","protein phosphorylation"
"375","GO:0007242"," 60102","intracellular signal transduction"
"376","GO:0004674"," 60102","protein serine/threonine kinase activity"
"377","GO:0003723"," 61042","RNA binding"
"378","GO:0005488"," 61042","binding"
"379","GO:0003991"," 61045","acetylglutamate kinase activity"
"380","GO:0006526"," 61045","arginine biosynthetic process"
"381","GO:0004042"," 61045","acetyl-CoA:L-glutamate N-acetyltransferase activity"
"382","GO:0003735"," 61192","structural constituent of ribosome"
"383","GO:0005840"," 61192","ribosome"
"384","GO:0006412"," 61192","translation"
"385","GO:0005634"," 61421","nucleus"
"386","GO:0006260"," 61421","DNA replication"
"387","GO:0003951"," 61680","NAD+ kinase activity"
"388","GO:0008152"," 61680","metabolic process"
"389","GO:0042736"," 61680","NADH kinase activity"
"390","GO:0005086"," 62017","guanyl-nucleotide exchange factor activity"
"391","GO:0005622"," 62017","intracellular anatomical structure"
"392","GO:0032012"," 62017","regulation of ARF protein signal transduction"
"393","GO:0005488"," 62017","binding"
"394","GO:0008270"," 62505","zinc ion binding"
"395","GO:0016787"," 62505","hydrolase activity"
"396","GO:0004126"," 62505","cytidine deaminase activity"
"397","GO:0046087"," 62505","cytidine metabolic process"
"398","GO:0003824"," 62505","catalytic activity"
"399","GO:0008152"," 62614","metabolic process"
"400","GO:0016491"," 62614","oxidoreductase activity"
"401","GO:0008678"," 62614","2-deoxy-D-gluconate 3-dehydrogenase activity"
"402","GO:0005737"," 62801","cytoplasm"
"403","GO:0017089"," 62801","glycolipid transfer activity"
"404","GO:0046836"," 62801","glycolipid transport"
"405","GO:0051861"," 62801","glycolipid binding"
"406","GO:0005351"," 63402","carbohydrate:proton symporter activity"
"407","GO:0008643"," 63402","carbohydrate transport"
"408","GO:0016020"," 63402","membrane"
"409","GO:0005215"," 63402","transporter activity"
"410","GO:0006810"," 63402","transport"
"411","GO:0016021"," 63402","membrane"
"412","GO:0003700"," 63491","DNA-binding transcription factor activity"
"413","GO:0005634"," 63491","nucleus"
"414","GO:0006355"," 63491","regulation of DNA-templated transcription"
"415","GO:0008270"," 63491","zinc ion binding"
"416","GO:0004553"," 64209","hydrolase activity, hydrolyzing O-glycosyl compounds"
"417","GO:0005975"," 64209","carbohydrate metabolic process"
"418","GO:0031176"," 64209","endo-1,4-beta-xylanase activity"
"419","GO:0051421"," 64209","regulation of endo-1,4-beta-xylanase activity"
"420","GO:0051422"," 64209","negative regulation of endo-1,4-beta-xylanase activity"
"421","GO:0051423"," 64209","positive regulation of endo-1,4-beta-xylanase activity"
"422","GO:0003824"," 64504","catalytic activity"
"423","GO:0016831"," 64504","carboxy-lyase activity"
"424","GO:0004611"," 64504","phosphoenolpyruvate carboxykinase activity"
"425","GO:0008488"," 64504","gamma-glutamyl carboxylase activity"
"426","GO:0008694"," 64504","3-octaprenyl-4-hydroxybenzoate carboxy-lyase activity"
"427","GO:0018790"," 64504","o-pyrocatechuate decarboxylase activity"
"428","GO:0018791"," 64504","2-hydroxy-3-carboxy-6-oxo-7-methylocta-2,4-dienoate decarboxylase activity"
"429","GO:0018792"," 64504","bis(4-chlorophenyl)acetate decarboxylase activity"
"430","GO:0018793"," 64504","3,5-dibromo-4-hydroxybenzoate decarboxylase activity"
"431","GO:0018794"," 64504","2-hydroxyisobutyrate decarboxylase activity"
"432","GO:0018795"," 64504","2-hydroxy-2-methyl-1,3-dicarbonate decarboxylase activity"
"433","GO:0043727"," 64504","5-amino-4-imidazole carboxylate lyase activity"
"434","GO:0043728"," 64504","2-keto-4-methylthiobutyrate aminotransferase activity"
"435","GO:0006508"," 64739","proteolysis"
"436","GO:0008237"," 64739","metallopeptidase activity"
"437","GO:0008152"," 64739","metabolic process"
"438","GO:0016813"," 64739","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines"
"439","GO:0016787"," 64739","hydrolase activity"
"440","GO:0046983"," 64739","protein dimerization activity"
"441","GO:0003700"," 64853","DNA-binding transcription factor activity"
"442","GO:0005634"," 64853","nucleus"
"443","GO:0006355"," 64853","regulation of DNA-templated transcription"
"444","GO:0008270"," 64853","zinc ion binding"
"445","GO:0003700"," 65248","DNA-binding transcription factor activity"
"446","GO:0005634"," 65248","nucleus"
"447","GO:0006355"," 65248","regulation of DNA-templated transcription"
"448","GO:0043565"," 65248","sequence-specific DNA binding"
"449","GO:0033164"," 66137","glycolipid 1,6-alpha-mannosyltransferase activity"
"450","GO:0008152"," 66744","metabolic process"
"451","GO:0008168"," 66744","methyltransferase activity"
"452","GO:0016512"," 66744","obsolete endothelin-converting enzyme 1 activity"
"453","GO:0003676"," 67269","nucleic acid binding"
"454","GO:0004386"," 67269","helicase activity"
"455","GO:0005524"," 67269","ATP binding"
"456","GO:0008026"," 67269","helicase activity"
"457","GO:0004550"," 67395","nucleoside diphosphate kinase activity"
"458","GO:0005524"," 67395","ATP binding"
"459","GO:0006183"," 67395","GTP biosynthetic process"
"460","GO:0006228"," 67395","UTP biosynthetic process"
"461","GO:0006241"," 67395","CTP biosynthetic process"
"462","GO:0005622"," 68507","intracellular anatomical structure"
"463","GO:0019843"," 68507","rRNA binding"
"464","GO:0003723"," 68507","RNA binding"
"465","GO:0004373"," 68651","glycogen (starch) synthase activity"
"466","GO:0005978"," 68651","glycogen biosynthetic process"
"467","GO:0004194"," 69589","obsolete pepsin A activity"
"468","GO:0006508"," 69589","proteolysis"
"469","GO:0004190"," 69589","aspartic-type endopeptidase activity"
"470","GO:0004192"," 69589","obsolete cathepsin D activity"
"471","GO:0005515"," 71144","protein binding"
"472","GO:0008152"," 71299","metabolic process"
"473","GO:0016491"," 71299","oxidoreductase activity"
"474","GO:0047560"," 71299","3-dehydrosphinganine reductase activity"
"475","GO:0004057"," 71418","arginyltransferase activity"
"476","GO:0016598"," 71418","protein arginylation"
"477","GO:0042176"," 71418","regulation of protein catabolic process"
"478","GO:0005525"," 71632","GTP binding"
"479","GO:0007264"," 71632","small GTPase mediated signal transduction"
"480","GO:0003924"," 71632","GTPase activity"
"481","GO:0005515"," 71632","protein binding"
"482","GO:0006886"," 71632","intracellular protein transport"
"483","GO:0006913"," 71632","nucleocytoplasmic transport"
"484","GO:0007165"," 71632","signal transduction"
"485","GO:0005622"," 71632","intracellular anatomical structure"
"486","GO:0015031"," 71632","protein transport"
"487","GO:0019787"," 71969","ubiquitin-like protein transferase activity"
"488","GO:0043687"," 71969","post-translational protein modification"
"489","GO:0051246"," 71969","regulation of protein metabolic process"
"490","GO:0004842"," 71969","ubiquitin-protein transferase activity"
"491","GO:0051438"," 71969","regulation of ubiquitin-protein transferase activity"
"492","GO:0051440"," 71969","obsolete regulation of ubiquitin-protein ligase activity involved in meiotic cell cycle"
"493","GO:0051443"," 71969","positive regulation of ubiquitin-protein transferase activity"
"494","GO:0051444"," 71969","negative regulation of ubiquitin-protein transferase activity"
"495","GO:0005215"," 73293","transporter activity"
"496","GO:0006810"," 73293","transport"
"497","GO:0016021"," 73293","membrane"
"498","GO:0003700"," 74006","DNA-binding transcription factor activity"
"499","GO:0005634"," 74006","nucleus"
"500","GO:0006355"," 74006","regulation of DNA-templated transcription"
"501","GO:0008270"," 74006","zinc ion binding"
"502","GO:0003677"," 74006","DNA binding"
"503","GO:0006350"," 74006","DNA-templated transcription"
